Issue key,Issue id,Issue Type,Resolved,Custom field (Story Points)
SEP-9531,64249,Bug,30.04.21 11:06,1.0
SEP-9604,64846,Bug,30.04.21 11:10,3.0
SEP-6787,50870,Bug,30.04.21 11:11,1.0
SEP-9763,65900,Bug,05.05.21 11:17,0.5
SEP-9609,64872,Bug,06.05.21 10:02,2.0
SEP-8900,59681,Story,07.05.21 11:19,2.0
SEP-2625,30199,Bug,07.05.21 11:20,2.0
SEP-9901,67004,Bug,10.05.21 11:18,1.0
SEP-1416,20365,Bug,10.05.21 14:03,1.0
SEP-7251,52338,Story,10.05.21 15:37,
SEP-7008,51471,Story,10.05.21 15:45,4.0
SEP-9786,65973,Task,11.05.21 09:11,1.0
SEP-9870,66618,Bug,11.05.21 09:24,1.0
SEP-9845,66410,Bug,12.05.21 11:17,0.5
SEP-9585,64623,Bug,12.05.21 11:17,1.0
SEP-9899,67000,Story,17.05.21 11:21,2.0
SEP-9929,67330,Bug,18.05.21 11:07,1.0
SEP-9798,65999,Bug,18.05.21 11:14,2.0
SEP-9706,65543,Story,20.05.21 09:40,3.0
SEP-9904,67078,Bug,20.05.21 09:44,1.0
SEP-9915,67122,Bug,21.05.21 11:19,1.0
SEP-9782,58666,Story,25.05.21 09:20,8.0
SEP-9923,67268,Bug,25.05.21 09:37,2.0
SEP-9926,67284,Task,25.05.21 10:34,1.0
SEP-9875,66631,Bug,26.05.21 11:18,2.0
SEP-9896,66900,Bug,26.05.21 11:18,1.0
SEP-9872,66625,Story,26.05.21 11:18,2.0
SEP-10027,68189,Bug,27.05.21 10:04,2.0
SEP-10030,68211,Bug,28.05.21 11:14,1.0
SEP-10024,68186,Bug,28.05.21 11:16,1.0
SEP-8150,55598,Bug,28.05.21 11:19,0.5
SEP-10025,68187,Bug,28.05.21 11:20,1.0
SEP-10020,68127,Bug,31.05.21 11:08,1.0
SEP-8119,55475,Bug,31.05.21 11:14,1.0
SEP-10007,68062,Bug,01.06.21 11:10,1.0
SEP-6963,51334,Bug,01.06.21 11:20,1.0
SEP-8593,57840,Bug,02.06.21 11:23,0.5
SEP-8318,56469,Bug,02.06.21 11:29,1.0
SEP-10083,68845,Bug,04.06.21 11:06,1.0
SEP-10099,68901,Bug,04.06.21 11:06,1.0
SEP-7979,55085,Bug,04.06.21 11:12,1.0
SEP-10093,68872,Bug,04.06.21 11:12,1.0
SEP-10009,68066,Task,07.06.21 11:15,3.0
SEP-9995,67992,Story,07.06.21 11:18,2.0
SEP-10085,68851,Bug,07.06.21 11:22,1.0
SEP-4896,42182,Bug,08.06.21 09:22,0.5
SEP-9341,63092,Story,08.06.21 09:24,8.0
SEP-8946,60021,Story,08.06.21 09:31,2.0
SEP-10013,68103,Story,09.06.21 11:15,1.0
SEP-10112,69190,Bug,10.06.21 10:05,0.5
SEP-10076,68766,Bug,16.06.21 11:18,2.0
SEP-9746,65786,Story,17.06.21 09:19,5.0
SEP-10149,69806,Bug,18.06.21 11:20,0.5
SEP-10066,68448,Bug,18.06.21 11:30,2.0
SEP-10156,69846,Bug,21.06.21 11:22,2.0
SEP-394,13240,Story,21.06.21 11:22,5.0
SEP-10147,69801,Bug,21.06.21 11:27,1.0
SEP-10130,69418,Task,22.06.21 08:50,1.0
SEP-10186,70592,Bug,23.06.21 11:19,1.0
SEP-10189,70603,Bug,23.06.21 11:20,1.0
SEP-10191,70605,Bug,23.06.21 11:20,1.0
SEP-10145,69737,Bug,01.07.21 09:56,2.0
SEP-10158,69900,Bug,02.07.21 11:10,2.0
SEP-10193,70654,Task,06.07.21 09:15,1.0
SEP-8853,59313,Story,08.07.21 09:51,
SEP-10246,71014,Bug,09.07.21 11:09,2.0
SEP-10217,70824,Bug,12.07.21 11:28,1.0
SEP-2058,27385,Story,14.07.21 15:12,2.0
SEP-5153,43622,Story,19.07.21 11:32,13.0
SEP-10303,71554,Task,20.07.21 09:12,1.0
SEP-10329,72002,Bug,21.07.21 11:26,1.0
SEP-10323,71979,Bug,21.07.21 11:29,1.0
SEP-10256,71061,Bug,27.07.21 11:33,2.0
SEP-10354,72205,Story,28.07.21 11:02,2.0
SEP-10406,73151,Bug,03.08.21 09:10,2.0
SEP-10417,73229,Bug,04.08.21 11:15,1.0
SEP-10472,73688,Bug,11.08.21 11:25,0.5
SEP-10339,72080,Bug,11.08.21 11:49,1.0
SEP-10491,73914,Bug,12.08.21 10:26,1.0
SEP-10484,73790,Bug,17.08.21 09:28,2.0
SEP-10431,73395,Bug,17.08.21 09:42,5.0
SEP-10429,73351,Bug,17.08.21 09:47,1.0
SEP-10123,69294,Story,18.08.21 11:02,3.0
SEP-10549,74468,Bug,19.08.21 11:44,0.5
SEP-10479,73781,Bug,20.08.21 11:06,1.0
SEP-10563,74621,Bug,24.08.21 11:09,2.0
SEP-10589,74883,Bug,24.08.21 11:11,1.0
SEP-8128,55520,Story,24.08.21 11:16,13.0
SEP-10592,74900,Bug,24.08.21 11:18,2.0
SEP-10349,72182,Bug,25.08.21 11:16,0.5
SEP-10557,74583,Bug,25.08.21 11:17,1.0
SEP-10454,73555,Bug,25.08.21 11:18,2.0
SEP-10599,75027,Bug,26.08.21 09:36,1.0
SEP-10177,70444,Story,26.08.21 09:56,2.0
SEP-10305,71556,Bug,27.08.21 11:20,2.0
